instname,city,state,zip
Homestead Schools,Torrance,CA,90505
Milan Institute,Bakersfield,CA,93301
Milan Institute-Bakersfield,Bakersfield,CA,93301
Milan Institute of Cosmetology,Concord,CA,94520
Milan Institute of Cosmetology-Concord,Concord,CA,94520
Capri Beauty College,New Lenox,IL,60451
Capri Beauty College New Lenox I,New Lenox,IL,60451
Herzing University,Toledo,OH,43615
Herzing University-Toledo,Toledo,OH,43615
Kaplan Career Institute,Boston,MA,2215
Kaplan Career Institute-Boston,Boston,MA,2215
National College-Columbus,Columbus,OH,45420
Provo College–American Fork,American Fork,UT,84003
The Fila Academy,High Point,NC,27265
L’Ecole Culinaire,Cordova,TN,38016
South Texas Vocational Technical Institute,Corpus Christi,TX,78416
South Texas Vocational Technical Institute-Corpus Christi,Corpus Christi,TX,78416
South Texas Vocational Technical Institute-Brownsville,Brownsville,TX,78520
ATI Career Training Center,Dallas,TX,75247
ATI Career Training Center-Dallas,Dallas,TX,75247
ATI Career Training Center-Houston,Houston,TX,77029
ATI Career Training Center-Oklahoma City,Oklahoma City,OK,73149
ATI Career Training Center-Waco,Waco,TX,76711
Beauty Schools of America-Homestead,Homestead,FL,33030
Brown Mackie College-Greenville,Greenville,SC,29601
Strayer University-Ohio,Mason,OH,45040
Strayer University-Utah,Sandy,UT,84070
Strayer University-West Virginia,Scott Depot,WV,25560
Brown Mackie College-Phoenix,Phoenix,AZ,85029
Josef's School of Hair Design Inc,Fargo,ND,58103
Josef's School of Hair Design Inc-Fargo West,Fargo,ND,58103
The Commonwealth Medical College,Scranton,PA,18503
Ross Medical Education Center-Portage,Portage,MI,49002
Ross Medical Education Center-Fort Wayne,Fort Wayne,IN,46805
Universidad Politecnica de Puerto Rico-Orlando Campus,Winter Park,FL,32792
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,32825
Polytechnic University of Puerto Rico-Miami Campus,Miami,FL,33166
ITT Technical Institute–Charlotte North,Charlotte,NC,28262
ITT Technical Institute–Fort Myers,Fort Myers,FL,33912
ITT Technical Institute–Concord,Concord,CA,94520
ITT Technical Institute–Huntington,Huntington,WV,25705
ITT Technical Institute–Springfield,Springfield,MO,65807
ITT Technical Institute–Madison,Madison,MS,39110
Kaplan University,Frederick,MD,21704
Kaplan University-Frederick Campus,Frederick,MD,21704
Argosy University-Phoenix Online Division,Phoenix,AZ,85021
Heritage College,Little Rock,AR,72227
Heritage College-Little Rock,Little Rock,AR,72227
Heritage College-Wichita,Wichita,KS,67210
Sanford-Brown College,San Antonio,TX,78229
Sanford-Brown College-San Antonio,San Antonio,TX,78229
Le Cordon Bleu College of Culinary Arts-St Louis,St Peters,MO,63376
Le Cordon Bleu College of Culinary Arts-St Peters,St Peters,MO,63376
Le Cordon Bleu College of Culinary Arts-St. Louis,St Peters,MO,63376
International Academy of Design and Technology-Online,Tampa,FL,33634
College of Hair Design-East Campus,Lincoln,NE,68526
MJS School of Technology,Columbus,OH,43231
Euphoria Institute of Beauty Arts & Sciences,Las Vegas,NV,89131
Euphoria Institute of Beauty Arts & Sciences-Las Vegas,Las Vegas,NV,89131
Lamson Institute,San Antonio,TX,78238
Miller-Motte College-Raleigh,Raleigh,NC,27604-6072
Life Purpose Institute Inc,San Diego,CA,92129
Urbana Theological Seminary,Champaign,IL,61820
MediaTech Institute,Oceanside,CA,92054
MediaTech Institute-Houston,Houston,TX,77042
MediaTech Institute-Austin,Austin,TX,78704
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,55432
Empire Beauty School-Lauderhill,Lauderhill,FL,33351
Stautzenberger College-Livonia,Livonia,MI,48150
Stautzenberger Institute,Allen Park,MI,48101
Stautzenberger Institute-Allen Park,Allen Park,MI,48101
Georgia Beauty Academy,Dalton,GA,30721-3952
Santa Barbara Graduate Institute of The Chicago School of Professional Psychology,Santa Barbara,CA,93103
The Ohio Academy Paul Mitchell Partner School,Columbus,OH,43231
The Ohio Academy Paul Mitchell Partner School-Columbus,Columbus,OH,43231
The Ohio Academy Paul Mitchell Partner School-Cleveland,Twinsburg,OH,44087
Virginia College in Charleston,North Charleston,SC,29406
Virginia College-Charleston,North Charleston,SC,29406
Pima Medical Institute,Mesa,AZ,85209
Pima Medical Institute-Mesa,Mesa,AZ,85209
Pima Medical Institute-East Valley,Mesa,AZ,85209
The Art Institute of Washington-Northern Virginia,Sterling,VA,20166
Advanced Welding Institute,South Burlington,VT,5403
Vermont College of Fine Arts,Montpelier,VT,5602
Columbia College,Fairfax,VA,22031
South Texas Training Center,San Benito,TX,78586
Toni & Guy Hairdressing Academy-Cranston,Cranston,RI,2920
Liberty Technical College,Cayey,PR,737
Pulse Beauty Academy-A Paul Mitchell Partner School,Downington,PA,19335
Education and Technology Institute,Greensburg,PA,15601
Academy of Hair Design,Oklahoma City,OK,73120
Center for Massage & Natural Health,Weaverville,NC,28787
The Temple-A Paul Mitchell Partner School,Frederick,MD,21701
Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL,60455
Tricoci University of Beauty Culture-Libertyville,Libertyville,IL,60048
Aveda Institute-Chicago,Chicago,IL,60647
National Career College,Van Nuys,CA,91405
Oliver Finley Academy of Cosmetology,Boise,ID,83704
Lake Lanier School of Massage,Gainsville,GA,30501-4546
Medical Institute of Palm Beach,Lake Worth,FL,33460
Rose Training Institute,Winter Haven,FL,33881
Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064
Institute of World Politics,Washington,DC,20036
Oxford Academy of Hair Design,Seymour,CT,6483
Summit Salon & Beauty School,Woodland Park,CO,80866
Providence Christian College,Ontario,CA,91761-5626
California Academy-A Paul Mitchell Partner School,Sacramento,CA,95825
Paul Mitchell The School-Sacramento,Sacramento,CA,95825
RWM Fiber Optics,Carson,CA,90746
Central Nursing College,Los Angeles,CA,90010
California Nurses Educational Institute,Cathedral City,CA,92234
Studio Academy of Beauty,Chandler,AZ,85224
Virginia College-Jacksonville,Jacksonville,FL,32290
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36604
National Laser Institute,Scottsdale,AZ,85260
Metro Business College-Arnold,Arnold,MO,63010
Miller-Motte College-Greenville,Greenville,NC,27834
Daymar College Scottsville,Scottsville,KY,42164
Daymar College-Scottsville,Scottsville,KY,42164
Daymar College Albany,Albany,KY,42602
Brown Mackie College-Tulsa,Tulsa,OK,74146
Brown Mackie College-Boise,Boise,ID,83709
Pioneer University Graduate School of Education,Oro Grande,CA,92368
Vatterott Career College,Memphis,TN,38133
Vatterott Career College-Memphis Appling Farms,Memphis,TN,38133
ATI Career Training Center-Albuquerque,Albuquerque,NM,87109
Florida Christian University,Orlando,FL,32819
Woodland Community College,Woodland,CA,95776
Romanov Academy of Sports Science,Coral Gables,FL,33134
Fortis College School of Cosmetology,Mobile,AL,36609
Fortis Institute-Pensacola,Pensacola,FL,32514
Fortis College-Dothan,Dothan,AL,36303
California InterContinental University,Diamond Bar,CA,91765
Bamboo Garden School of Massage,Fort Bragg,CA,95437
PC ProSchools,Brookfield,WI,53005
Visions in Hair Design Institute of Cosmetology,Milwaukee,WI,53210
Pacific Northwest University of Health Sciences,Yakima,WA,98901
Global Health Nurse Training Services,Alexandria,VA,22314
Skin Science Institute,Salt Lake City,UT,84115
360 Degrees Beauty Academy,Houston,TX,77084
Aveda Institute San Antonio,San Antonio,TX,78215
Aveda Institute-San Antonio,San Antonio,TX,78215
PCCenter,DeSoto,TX,75115
MediaTech Institute-Irving,Irving,TX,75039
Hands on Therapy,Mesquite,TX,75149
International Beauty Academy,Philadelphia,PA,19149
Kimberly's Beauty School,Philadelphia,PA,19134
Cutter's Edge School of Cosmetology,Cushing,OK,74023
Cincinnati Academy A Paul Mitchell Partner School,Cincinnati,OH,45241
Paul Mitchell The School-Cincinnati,Cincinnati,OH,45241
Aveda Institute Columbus,Columbus,OH,43201
Aveda Institute-Columbus,Columbus,OH,43201
Designer's Beauty Academy,East Liverpool,OH,43920
Yeshiva of Machzikai Hadas,Brooklyn,NY,11219
Ann Marie's World of Beauty School,Binghamton,NY,13901
"John Paul's Hair, Nail & Skin Care Institute",Ballston Spa,NY,12020
John Paolo's Xtreme Beauty Institute/Goldwell Product Artistry,Ballston Spa,NY,12020
Career School of NY,Staten Island,NY,10301
Casal Institute of Nevada,Las Vegas,NV,89119
American Institute of Medical Sciences & Education,South Plainfield,NJ,7080
Center for Allied Health & Nursing Education,Hackensack,NJ,7601
Total Image Beauty Academy,Jersey City,NJ,7307
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,28801
Charlotte School of Law,Charlotte,NC,28208
Aveda Institute Chapel Hill,Chapel Hill,NC,27516
Aveda Institute-Chapel Hill,Chapel Hill,NC,27516
Ashworth Career School,Norcross,GA,30092
Ashworth College,Norcross,GA,30092
College of Western Idaho,Nampa,ID,83687
"Mississippi Institute of Aesthetics, Nails, & Cosmetology",Clinton,MS,39056
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,39056
Urshan Graduate School of Theology,Florissant,MO,63031
System - A Paul Mitchell Partner School,Springfield,MO,65807
Healing Arts Center,St. Louis,MO,63143
French Academy of Cosmetology,Spring Lake,MI,49456
International Cosmetology Academy,Grand Rapids,MI,49508
Regal Beauty School,Livonia,MI,48150
Focus-Hope Information Technologies Center,Detroit,MI,48238
Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,20852
Frederick School of Cosmetology,Frederick,MD,21701
Tricoci University of Beauty Culture-Rockford,Rockford,IL,61108
Tricoci University of Beauty Culture-Peoria,Peoria,IL,61614
Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,60139
Tricoci University of Beauty Culture-Chicago,Chicago,IL,60656
University of Aesthetics,Downers Grove,IL,60515
University of Aesthetics-Downers Grove,Downers Grove,IL,60515
University of Aesthetics-Chicago,Chicago,IL,60622
Hair Academy Paul Mitchell Partner School,Rexburg,ID,83440
Evans Hairstyling College,Rexburg,ID,83440
Evans Hairstyling College-Rexburg,Rexburg,ID,83440
Paul Mitchell the School Atlanta,Atlanta,GA,30318
Paul Mitchell the School-Atlanta,Atlanta,GA,30318
Celebrity School of Beauty,Miami,FL,33144
Professional Hands Institute,Miami,FL,33126
North Florida Academy,Orange Park,FL,32065
Allied Health Institute,Fort Lauderdale,FL,33309
Cozmo The School,Bonita Springs,FL,34135
Institute of Allied Medical Professions,Delray Beach,FL,33484
Institute of Allied Medical Professions-Delray Beach,Delray Beach,FL,33484
Cambridge Institute of Health & Technology,Delray Beach,FL,33484
Denver School of Nursing,Denver,CO,80202
National Beauty College,Denver,CO,80221
Institute of Taoist Education and Acupuncture,Louisville,CO,80027
Aspen University,Denver,CO,80246
Culinary School of the Rockies,Boulder,CO,80305
Auguste Escoffier School of Culinary Arts,Boulder,CO,80305
Career Development Institute,Los Angeles,CA,90035
Healing Hands School of Holistic Health,Escondido,CA,92025
Laurus College,San Luis Obispo,CA,93401
San Francisco Institute of Esthetics and Cosmetology,San Francisco,CA,94103
Cao Institute of Aesthetics,Alhambra,CA,91801
Paul Mitchell The School-Pasadena,Alhambra,CA,91801
Borner's Barber College,Los Angeles,CA,90047
International Professional School of Bodywork,San Diego,CA,92123
BioHealth College,San Jose,CA,95134
Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3212
Institute of Medical Education,San Jose,CA,95113
International Polytechnic Institute,Calexico,CA,92231
Mayfield College,Cathedral City,CA,92234
Taft University System,Santa Ana,CA,92704
Modern Techniques Beauty College,Lake Havasu City,AZ,86403
Xcell Academy-A Paul Mitchell Partner School,Hoover,AL,35216
ATI Career Training Center-Garland,Garland,TX,75041
Virginia College-Greenville,Greenville,SC,29607
Institute of Production and Recording,Minneapolis,MN,55401
The Esani Institute,Roswell,GA,30076
Paul Mitchell the School-Esani,Roswell,GA,30076
Milan Institute of Cosmetology-Visalia,Visalia,CA,93277
ATI Career Training Center-Richardson,Richardson,TX,75081
Milan Institute of Cosmetology-Reno,Reno,NV,89502
Milan Institute of Cosmetology-Fairfield,Fairfield,CA,94533
The Salon Professional Academy-Appleton,Appleton,WI,54915
Bryan College,Rogers,AR,72756
Bryan College-Rogers,Rogers,AR,72756
FastTrain of Clearwater,Clearwater,FL,33761
FastTrain of Tampa,Tampa,FL,33607
FastTrain of Pembroke Pines,Pembroke Pines,FL,33027
FastTrain of Ft. Lauderdale,Ft. Lauderdale,FL,33311
FastTrain of Ft Lauderdale,Plantation,FL,33317
FastTrain of Kendall,Miami,FL,33176
Lincoln Technical Institute,St. Petersburg,FL,32730
Lincoln Technical Institute-Seminole,Seminole,FL,33777
Chamberlain College of Nursing–Phoenix Campus,Phoenix,AZ,85021
Chamberlain College of Nursing-Arizona,Phoenix,AZ,85021-2995
Chamberlain College of Nursing–Columbus Campus,Columbus,OH,43209
Chamberlain College of Nursing-Ohio,Columbus,OH,43209-2705
Chamberlain College of Nursing–Addison Campus,Addison,IL,60101
Chamberlain College of Nursing-Illinois,Addison,IL,60101
Chamberlain College of Nursing–Administrative Office,Addison,IL,60101
Patsy and Robs Academy of Beauty,Cottleville,MO,63304
Patsy and Robs Academy of Beauty-Cottleville,Cottleville,MO,63304
The King’s College,New York,NY,10118
World Harvest Bible College,Canal Winchester,OH,43110
Walnut Creek Dental Career Center,Millersburg,OH,44654
TSG of Ohio,Broadview Heights,OH,44147-0456
Toledo Restaurant Training Center,Toledo,OH,43604
Toledo Dental Academy,Toledo,OH,43623
TechSkills-Cleveland,Cleveland,OH,44131
TechSkills-Charlotte,Charlotte,NC,28217
TechSkills-Cincinnati,Cincinnati,OH,45242
Summit Dental Learning Center,Northfield,OH,44067
Settling Touch and Resourcing Institute of Ohio,Warrensville Heights,OH,44128
Reflexology Science Institute,Columbus,OH,43220
Reflexology Certification Institute,Avon,OH,44011
Premier Training of Excellence,Beavercreek,OH,45431
Premier Educational Services,Columbus,OH,43213
Ohio Medical Career Center,Dayton,OH,45408
Ohio Institute of Health Careers,Columbus,OH,43229
Ohio Institute of Energetic Studies and Bodywork,Columbus,OH,43201
Institute of Holistic Health Careers,Columbus,OH,43201
Ohio Center for Broadcasting,Columbus,OH,43213
Ohio Center for Broadcasting-Columbus,Columbus,OH,43213
Ohio Business College,Columbus,OH,43229
Ohio Business College-Columbus,Columbus,OH,43229
Ohio Academy of Pet Styling,Strongsville,OH,44136
Ohio Academy of Hypnosis,Perrysburg,OH,43551
Ohio Academy of Holistic Health,Xenia,OH,45385-4048
Oakland Park School of Technology,Columbus,OH,43224-3630
Oakes School of Massage Therapy,Massillon,OH,44646
Northwest Ohio Dental Assisting School,Toledo,OH,43615
Northwest Academy of Massotherapy,Maumee,OH,43537
Northeast Ohio Dental Assisting School,Warren,OH,44483
Northeast Ohio Dental Assistant Academy,Mentor,OH,44060
New Image Dental Academy,Canfield,OH,44406
New Horizons Computer Learning Center,Dublin,OH,43016
Empire Beauty School-Eden Prairie,Eden Prairie,MN,55344
Our Saviour's Institute of America,New York,NY,10037
National Personal Training Institute,Columbus,OH,43235
National Personal Training Institute of Columbus,Columbus,OH,43235
National Personal Training Institute of Cleveland,Richmond Heights,OH,44143
National College,Stow,OH,44224
National College-Stow,Stow,OH,44224
National College-Cincinnati,Cincinnati,OH,45237
National College-Youngstown,Youngstown,OH,44505
National College-Dayton,Kettering,OH,45420
Motoman Technical Education Center,W Carrollton,OH,45449
Miami-Jacobs Career College,,OH,
Medicore,Cleveland,OH,44127
Medical Transcription Education Center Inc,Fairlawn,OH,44333
Kaplan College,Cincinnati,OH,45203
Kaplan College-Cincinnati,Cincinnati,OH,45203
IT Certification Institute LLC,Youngstown,OH,44503
International Culinary Arts and Sciences Institute,Chesterland,OH,44026
Strayer University-New Jersey,Cherry Hill,NJ,8002
Strayer University-North Carolina,Morrisville,NC,27560
Strayer University-Kentucky,Lexington,KY,40503
Institute of Therapeutic Massage Inc LC,Ottawa,OH,45875
Institute of Therapeutic Massage Inc,Ottawa,OH,45875
Hondros College LC,Maumee,OH,43537-4050
Hondros College,Mason,OH,45040
Harmony Path School of Massage Therapy,Rocky River,OH,44116-4307
Great Lakes Health Institute LC,,OH,
Great Lakes Health Institute,Lyndhurst,OH,44124
Goodwill Training and Employment Center,Cleveland,OH,44103
Fur on the Floor,Xenia,OH,45385
Franklinton Career and Technology Center,Columbus,OH,43223
Elite Welding Academy,Cincinnati,OH,45246
Iverson Business School,Atlanta,GA,30360
Diamond Cut Dog Grooming School,Medina,OH,44256
Diagnostic Imaging Tech Educ Center,6864 Cochran Rd,OH,44139
Dental Careers Foundation,Boardman,OH,44512
Dental Assistants Academy of Ohio,,OH,
Dental Assistant Pro LLC,Lebanon,OH,45036
Dental Assistant Pro LLC-Lebanon,Lebanon,OH,45036
Dental Assistant Pro LLC-Columbus,Columbus,OH,43231
