,institution
780,Arizona College of Allied Health
781,Arizona Culinary Institute
782,Arizona School of Acupuncture and Oriental Medicine
783,Arizona State University
784,Arizona State University at the Tempe Campus
785,Arizona Western College
786,Arkadelphia Beauty College
787,Arkansas Aviation Technologies Center
788,Arkansas Baptist College
789,Arkansas Beauty College
790,Arkansas Beauty School
791,Arkansas Career Training Institute
792,Arkansas College of Barbering and Hair Design
793,Arkansas Northeastern College
794,Arkansas State University System Office
795,Arkansas State University-Beebe
796,Arkansas State University-Main Campus
797,Arkansas State University-Mountain Home
798,Arkansas State University-System Office
799,Arkansas Tech University
800,Arlington Baptist College
801,Arlington Career Institute
802,Arlington Medical Institute
803,Armstrong Atlantic State University
804,Army Medical University
805,Arnold-Padrick's University of Cosmetology
806,Arnolds Beauty School
807,Arnot Ogden Medical Center
808,Art Academy of Cincinnati
809,Art Center College of Design
810,Art Institute Pittsburgh
811,Art Institute of California-Los Angeles
812,Art Institute of California-Orange County
813,Art Institute of California-San Diego
814,Art Institute of Charlotte
815,Art Institute of Cincinnati
816,Art Institute of Colorado
817,Art Institute of Dallas
818,Art Institute of Houston
819,Art Institute of Las Vegas
820,Art Institute of Philadelphia
821,Art Institute of Seattle
822,Art Institute of Wisconsin (The)
823,Arthur Angelo School of Cosmetology and Hair Design
824,Arthur's Beauty College Inc
825,Arthur's Beauty College Inc-Fort Smith
826,Artistic Academy of Hair Design
827,Artistic Beauty Colleges-Aurora
828,Artistic Beauty Colleges-Lakewood
829,Artistic Beauty Colleges-Littleton
830,Artistic Beauty Colleges-Paradise Valley
831,Artistic Beauty Colleges-Phoenix North Central
832,Artistic Beauty Colleges-Scottsdale
833,Artistic Beauty Colleges-Tucson North
834,Artistic Nails and Beauty Academy
835,Asbury College
836,Asbury Theological Seminary
837,Asbury University
838,Ascension College
839,Asheboro Beauty School of Randolph
840,Asheville Buncombe Technical Community College
841,Asheville-Buncombe Technical Community College
842,Ashford University
843,Ashland County-West Holmes Career Center
844,Ashland University
845,Ashland University Dwight Schar College of Nursing
846,Ashmead College
847,Ashmead College-Seattle
848,Ashtabula County Joint Vocational School
849,Ashtabula County Technical and Career Campus
850,Ashworth Career School
851,Ashworth College
852,"Asia University, Taiwan"
853,Asian American International Beauty College
854,Askins Vo-Tech
855,Asnuntuck Community College
856,Aspen University
857,Assabet Valley Regional Technical School
858,Assemblies of God Theological Seminary
859,Associated Beth Rivkah Schools
860,Associated Mennonite Biblical Seminary
861,Associated Technical College
862,Associated Technical College-Los Angeles
863,Associated Technical College-San Diego
864,"Associated Training Services of Ohio, LLC"
865,Assumption College
866,Assumption College for Sisters
867,Aston University
868,Astrodome Career Centers
869,Atelier Esthetique Institute of Esthetics
870,Atenas College
871,Athena Education Corporation
872,Athenaeum of Ohio
873,Athens State University
874,Athens Technical College
875,Atlanta  Medical  Institute
876,Atlanta Beauty Academy
877,Atlanta Christian College
878,Atlanta College of Art
879,Atlanta Institute of Music
880,Atlanta Metropolitan College
881,Atlanta School of Massage
882,Atlanta Technical College
883,Atlanta's John Marshall Law School
884,Atlantic Beauty & Spa Academy LLC
885,Atlantic Cape Community College
886,Atlantic College
887,Atlantic County Vocational Technical School
888,Atlantic Institute of Oriental Medicine
889,Atlantic Technical Center
890,Atlantic Union College
891,Atlantic University College
892,Auburn Career Center
893,Auburn University
894,Auburn University Main Campus
895,Auburn University at Montgomery
896,Auburn University-Montgomery
897,Audio Recording Technology Institute
898,Augsburg College
899,Augusta Area Dietetic Internship-University Hospital
900,Augusta School of Massage
901,Augusta State University
902,Augusta Technical College
903,Augusta University
904,Augustana College
905,Auguste Escoffier School of Culinary Arts
906,Auguste Escoffier School of Culinary Arts-Austin
907,Aultman College of Nursing and Health Sciences
908,Aultman Hospital School of Nursing
909,Aurora St. Luke Medical Center School of Radiologic Technology
910,Aurora St. Luke's Medical Center-School of Diagnostic Medical Sonography
911,Aurora St. Luke's Medical Center-School of Diangostic Medical Sonography
912,Aurora St. Luke's Medical Center-School of Radiologic Technology
913,Aurora University
914,Austin Business College
915,Austin College
916,Austin Community College
917,Austin Community College District
918,Austin Graduate School of Theology
919,Austin Peay State University
920,Austin Presbyterian Theological Seminary
921,Austin's School of Spa Technology
922,Australasian College of Health Sciences
923,Australian Catholic University
924,Automeca Technical College
925,Automeca Technical College-Aguadilla
926,Automeca Technical College-Bayamon
927,Automeca Technical College-Caguas
928,Automeca Technical College-Ponce
929,Automotive Training Center
930,Autonomous University of Barcelona
931,Autonomous University of Madrid
932,Autry Technology Center
933,Avalon Beauty College
934,Avalon School of Cosmetology
935,Avalon School of Cosmetology-Layton
936,Avalon School of Cosmetology-Phoenix
937,Avance Beauty College
938,Avant Gard The School
939,Ave Maria College
940,Ave Maria School of Law
941,Ave Maria University
942,Aveda Fredric's Institute
943,Aveda Fredric's Institute-Indianapolis
944,Aveda Institute
945,Aveda Institute Chapel Hill
946,Aveda Institute Columbus
947,Aveda Institute Denver
948,Aveda Institute Des Moines
949,Aveda Institute New York
950,Aveda Institute Portland
951,Aveda Institute San Antonio
952,Aveda Institute of New Mexico (The)
953,Aveda Institute-Chapel Hill
954,Aveda Institute-Chicago
955,Aveda Institute-Columbus
956,Aveda Institute-Covington
957,Aveda Institute-Denver
958,Aveda Institute-Minneapolis
959,Aveda Institute-New York
960,Aveda Institute-Provo
961,Aveda Institute-Saint Petersburg
962,Aveda Institute-San Antonio
963,Aveda Institute-Tallahassee
964,Avenue Five Institute
965,Avera McKennan Hospital School of Radiologic Technology
966,Avera Sacred Heart Hospital
967,Averett University
968,Averett University-Non-traditional programs
969,Avi Career Training
970,Aviation Institute of Maintenance
971,Aviation Institute of Maintenance-Atlanta
972,Aviation Institute of Maintenance-Chesapeake
973,Aviation Institute of Maintenance-Dallas
974,Aviation Institute of Maintenance-Houston
975,Aviation Institute of Maintenance-Indianapolis
976,Aviation Institute of Maintenance-Kansas City
977,Aviation Institute of Maintenance-Manassas
978,Aviation Institute of Maintenance-Orlando
979,Aviation Institute of Maintenance-Philadelphia
980,Aviation Institute of Maintenance-Virginia Beach
981,Aviator College of Aeronautical Science and Technology
982,Avila University
983,Award Beauty School
984,Ayers Career College
985,Ayers Institute Inc
986,Azusa Pacific Online University
987,Azusa Pacific University
988,B M Spurr School of Practical Nursing
989,B Street Design School of International Hair Styling
990,B Street Design School of International Hair Styling-Manhattan
991,B Street Design-School International Hair Styling-Olathe
992,BACKSTER SCHOOL OF LIE DETECTION DBA BACKSTER ASSC
993,BAILEYS BARBER COLLEGE
994,BAKERS SCHOOL OF LOCKSMITHING
995,BALTIMORE SCHOOL OF DOG GROOMING
996,BANNOW FLORAL SCHOOL INC
997,BAPTIST FELLOWSHIP BIBLE COLLEGE OF TAMPA
998,BAPTIST MEDICAL CENTER
999,BARBER STYLING INSTITUTE
1000,BARBIZON CLAYTON
1001,BARBIZON MODELING OF ALBANY
1002,BARBIZON OF DELAWARE INC
1003,BARBIZON SCHOOL OF MICHIGAN
1004,BARBIZON SCHOOL OF MODELING
1005,BARBIZON SCHOOL OF MODELING-WILKES-BARRE
1006,BARNEY FLETCHER SCHOOL-ATLANTA INST OF REAL ESTATE
1007,BARSTOW ACADEMY OF BEAUTY
1008,BARTENDERS ACADEMY INC
1009,BARTENDING ACADEMY
1010,BARTON'S COLLEGE OF COSMETOLOGY
1011,BATAVIA SCHOOL OF DRAFTING
1012,BAY CITIES BIBLE INSTITUTE
1013,BAY MEDICAL CENTER SURGICAL SERVICES TRAINING
1014,BAY RIDGE CHRISTIAN COLLEGE
1015,BAYLOR UNIVERSITY MEDICAL CENTER-SCH OF RAD TECHN
1016,BAYONNE HOSPITAL SCHOOL OF NURSING
1017,BEACON CAREER INSTITUTE INCORPORATED
1018,BEALLE SCHOOL OF REAL ESTATE
1019,BEAUTY CAREERS TRAINING CENTER
1020,BEAUTY COLLEGE OF GEORGIA
1021,BEAUTY CREATOR ACADEMY
1022,BEAVER AVIATION
1023,BEDFORD-STUYVESANT YMCA INSTUTUTE
1024,BELAVI INSTITUTE FOR FACIAL MASSAGE
1025,BELLEVIEW CHRISTIAN COLLEGE
1026,BELLEVILLE BARBER COLLEGE
1027,BELLEVUE HOSPITAL CENTER SCHOOL OF RAD TECHN
1028,BELLFLOWER ADULT SCHOOL OF COSMETOLOGY
1029,BELLINGHAM DIVE N TRAVEL
1030,BEMIDJI BEAUTY ACADEMY
1031,BEN FARMER SCHOOL OF REAL ESTATE
1032,BEN PORTER REAL ESTATE SCHOOL
1033,BENBOW AVIATION FLIGHT SCHOOL
1034,BENEFIS HEALTHCARE SCH OF MED TECH/CLIN LAB SCI
1035,BENEFIS HEALTHCARE SCHOOL OF MEDICAL TECHNOLOGY
1036,BENNETT SCHOOL OF TRAVEL
1037,BEREAN UNIVERSITY
1038,BERKELEY EDUCATION AND TRAINING CENTER
1039,BERKOWITS SCHOOL OF ELECTROLYSIS
1040,BERLITZ LANGUAGE CENTER
1041,BERLITZ LANGUAGE CENTER-WATER TOWER PLACE
1042,BERLITZ LANGUAGE CENTERS
1043,BERNADEAN UNIVERSITY
1044,BETA TRAINING SERVICES
1045,BETH JACOB HEBREW TEACHERS COLLEGE
1046,BETH JACOB TEACHERS SEMINARY
1047,BETH MEDRASH EEYUN HATALMUD
1048,BETHANY BEAUTY COLLEGE
1049,BETHANY BIBLE COLLEGE
1050,BETHANY COLLEGE OF MISSIONS
1051,BETHANY MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHN
1052,BETHESDA CHRISTIAN BIBLE INSTITUTE
1053,BETTY STEVENS COSMETOLOGY INSTITUTE
1054,BEVILL STATE COMMUNITY COLLEGE-WALKER COLLEGE CAMP
1055,BEVS SCHOOL OF BEAUTY
1056,BIBLE MISSIONARY INSTITUTE
1057,BIBLICAL INTERNATIONAL
1058,BIBLICAL LIFE COLLEGE AND SEMINARY
1059,BIG SKY COLLEGE OF BARBER STYLING INCORPORATED
1060,BILINGUAL EDUCATION INSTITUTE
1061,BILL ALLENS POCONO INSTITUTE OF TAXIDERMY
1062,BINAH INSTITUTE OF ADVANCED JUDAIC STUDIES
1063,BIOFEEDBACK INSTITUTE OF LOS ANGELES
1064,BIR Training Center
1065,BIRMINGHAM BIBLE INSTITUTE
1066,BIRMINGHAM COLLEGE OF COURT REPORTING
1067,BIRMINGHAM SCHOOL OF LAW
1068,BIRMINGHAM-EASONIAN BAPTIST BIBLE COLLEGE
1069,BJ's Beauty & Barber College
1070,BJ's Beauty and Barber College
1071,BLACK FOREST HALL
1072,BLACK HILLS INDIAN BIBLE COLLEGE-ASSEMBLIES OF GOD
1073,BLACKWOOD BEAUTY SCHOOL
1074,BLADENSBURG BARBER SCHOOL
1075,BLAIN THE BEAUTY CAREER SCHOOLS
1076,BLAKE COMPUTER PROGRAMMING INSTITUTE
1077,BLALOCKS PROFESSIONAL BEAUTY COLLEGE
1078,BLANCO COSMETOLOGY SCHOOL
1079,BLANTON PEALE GRADUATE INSTITUTE
1080,BLOOMINGTON NORMAL SCHOOL OF RADIOGRAPHY
1081,BLUE HORIZON CORP INC
1082,BLUE RIDGE NURSING HOME SCHOOL
1083,BLUEFIELD COLLEGE OF EVANGELISM
1084,BLUEFIELD REGIONAL MEDICAL CENTER
1085,BMR TRAINING CENTERS
1086,BMSI Institute
1087,BOARDWALK AND MARINA CASINO DEALERS SCHOOL
1088,BOB BROOKS SCHOOL OF REAL ESTATE AND INSURANCE INC
1089,BOB HOGUE SCHOOL OF REAL ESTATE
1090,BOCA BEAUTY ACADEMY INC
1091,BOCA RATON INSTITUTE
1092,BODY MIND COLLEGE
1093,BODY THERAPY CENTER
1094,BOJACK ACADEMY OF BEAUTY CULTURE INC
1095,BONNEY LEARNING CENTER
1096,BOONE COUNTY CAREER AND TECHNICAL CENTER
1097,BOONEVILLE ACADEMY OF COSMETOLOGY
1098,BOSTON BARTENDERS SCHOOL OF AMERICA
1099,BOSTON LANGUAGE INSTITUTE
1100,BOSTON TECHNICAL CENTER INC
1101,BOSTON-ATLANTA BARTENDERS SCHOOL
1102,BOWLING GREEN HEALTH CARE TRAINING SCHOOL
1103,BRADFORD COLLEGE
1104,BRADFORD REGIONAL MEDICAL CENTER-SCHOOL OF RADIOGR
1105,BRANDS COLLEGE OF BEAUTY CULTURE
1106,BRAZOSPORT BEAUTY COLLEGE
1107,BRECKBILL BIBLE COLLEGE
1108,BRENDA WHITE SCHOOL OF REAL ESTATE
1109,BRENTLEY INSTITUTE INC
1110,BRICK COMPUTER SCIENCE INSTITUTE
1111,BRIGHTON INSTITUTE OF COSMETOLOGY
1112,BRISK RABBINICAL COLLEGE
1113,BROADCAST CENTER
1114,BROADCASTERS TRAINING SCHOOL
1115,BROADCASTING INSTITUTE OF MARYLAND
1116,BROADWAY SCHOOL OF REAL ESTATE
1117,BROCKTON PROFESSIONAL SCHOOL OF BARTENDING
1118,BRODSKY SCHOOL OF REAL ESTATE
1119,BRONX BEAUTY SCHOOL
1120,BROOKLYN CONSERVATORY OF MUSIC QUEENSBORO
1121,BROOKLYN SCHOOL OF AVIATION
1122,BROOKS AERO INC
1123,BROOKS DIVINITY SCHOOL
1124,BROWN INSTITUTE OF COURT REPORTING AND BUSINESS
1125,BROWN'S BARBER COLLEGE
1126,BRUNO ACADEMY OF BEAUTY
1127,BRYAN COLLEGE-SAN FRANCISCO
1128,BRYANT AND STRATTON COLLEGE-HAMPTON
1129,BRYANT CONTRACTORS AND REAL ESTATE APPRSL COURSES
1130,BSG TRAINING INSTITUTE
1131,BUCKS COUNTY TECHNICAL SCHOOL PRACTICAL NURS PROG
1132,BUD CRAWLEY REAL ESTATE SCHOOL
1133,BUFFALO VOCATIONAL TECHNICAL CENTER
1134,BURDETT COLLEGE
1135,BURK BAKER SCHOOL OF REAL ESTATE AND APPRAISING
1136,BURLINGTON COUNTY INSTITUTE OF TECHNOLOGY
1137,BUSINESS AND BANKING INSTITUTE
1138,BUSINESS AND TECHNOLOGY TRAINING INSTITUTE
1139,BUSINESS COMPUTER TRAINING INSTITUTE
1140,BUSINESS ETCETERA INSTITUTE OF TECHNOLOGY
1141,BUSINESS SKILLS INSTITUTE-EL PASO
1142,BUSINESS TRAINING INSTITUTE
1143,BYRONS SCHOOL OF FLORAL ARTS
1144,Babeș-Bolyai University
1145,Babol Noshirvani University of Technology
1146,Babson College
1147,Bacone College
1148,Bainbridge College
1149,Bainbridge Graduate Institute
1150,Bais Binyomin Academy
1151,Bais Medrash Elyon
1152,Bais Medrash Toras Chesed
1153,Baker College of Flint
1154,Baker University
1155,Baker University College of Arts and Sciences
1156,Bakersfield College
1157,Bakke Graduate University
1158,Baldwin Beauty School
1159,Baldwin Beauty School 5
1160,Baldwin Beauty School-North Austin
1161,Baldwin Beauty School-South Austin
1162,Baldwin Park Adult & Community Education
1163,Baldwin-Wallace College
1164,Ball Memorial Hospital School of Radiologic Technology
1165,Ball State University
1166,Baltimore City Community College
1167,Baltimore Hebrew University Inc
1168,Baltimore International College
1169,Baltimore School of Massage
1170,Baltimore Studio of Hair Design
1171,Bamboo Garden School of Massage
1172,Banaras Hindu University
1173,Bancroft School of Massage Therapy
1174,Bangor University
1175,Bank Street College of Education
1176,Banner College-Arlington
1177,Banner Institute-Chicago
1178,Baptist Bible College and Graduate School
1179,Baptist Bible College and Seminary
1180,Baptist Health Schools of Nursing and Allied Health
1181,Baptist Health Schools-Little Rock
1182,Baptist Health System School of Health Professions
1183,Baptist Memorial College of Health Sciences
1184,Baptist Missionary Association Theological Seminary
1185,Baptist Theological Seminary at Richmond
1186,Baptist University of the Americas
1187,Bar Palma Beauty Careers Academy
1188,Bar-Ilan University
1189,Baran Institute of Technology
1190,Barber-Scotia College
1191,Barbizon Midwest - Cincinnati
1192,Barbizon Midwest - Dayton
1193,Barbizon Midwest-Columbus
1194,Barbizon of Northeastern Ohio
1195,Barclay College
1196,Bard College
1197,Bard College at Simon's Rock
1198,Barnard College
1199,Barnes-Jewish College Goldfarb School of Nursing
1200,Barnes-Jewish College of Nursing
1201,Barnes-Jewish College of Nursing and Allied Health
1202,Barone Beauty Academy
1203,Barrett and Company School of Hair Design
1204,Barry University
1205,Barstow Community College
1206,Barton College
1207,Barton County Community College
1208,Bastrop Beauty School Inc
1209,Bastyr University
1210,Bates College
1211,Bates Technical College
1212,Baton Rouge College
1213,Baton Rouge Community College
1214,Baton Rouge General Medical Center School of Nursing
1215,Baton Rouge General Medical Center-Radiologic Technology
1216,Baton Rouge General Medical Center-School of Nursing
1217,Baton Rouge School of Computers
1218,Bauder College
1219,Bay Mills Community College
1220,Bay Path College
1221,Bay State College
1222,Bay State School of Technology
1223,Bay Vista College of Beauty
1224,Bay de Noc Community College
1225,Bayamon Central University
1226,Bayamon Community College
1227,Baylor College of Medicine
1228,Baylor University
1229,Bayshire Academy of Beauty Craft Inc
1230,Baystate Medical Center Midwifery Education Prog
1231,Beachland Technology Group
1232,Beacon College
1233,Beacon University
1234,Beal College
1235,Beatrice Academy of Beauty
1236,Beau La Reine College of Beauty
1237,Beau Monde College of Hair Design
1238,Beaufort County Community College
1239,Beaumont Adult School
1240,Beauty Academy of South Florida
1241,Beauty College of America
1242,Beauty School of Middletown
1243,Beauty Schools of America
1244,Beauty Schools of America-Hialeah
1245,Beauty Schools of America-Homestead
1246,Beauty Schools of America-Miami
1247,Beauty Schools of America-North Miami Beach
1248,Beauty Technical College Inc
1249,Beaver Falls Beauty Academy
1250,Beck Area Career Center-Red Bud
1251,Becker College
1252,Beckfield College
1253,Beckfield College-Florence
1254,Beckfield College-Tri-County
1255,Beckley Beauty Academy
1256,Bee Jays Academy
1257,Beebe Hospital School of Nursing
1258,Beebe Medical Center Margaret H. Rollins School of Nursing
1259,Behold Beauty Academy
1260,Beihang University
1261,Beijing Forestry University
1262,Beijing Institute of Technology
1263,Beijing Jiaotong University
1264,Beijing Normal University
1265,Beijing University of Chemical Technology
1266,Beijing University of Chinese Medicine
1267,Beijing University of Posts and Telecommunications
1268,Beijing University of Technology
1269,Beis Medrash Heichal Dovid
1270,Bel-Rea Institute of Animal Technology
1271,Belhaven College
1272,Belhaven University
1273,Bell Mar Beauty College
1274,Bella Capelli Academy
1275,Bellarmine University
1276,Bellefonte Academy of Beauty
1277,Bellevue Beauty School
1278,Bellevue College
1279,Bellevue Community College
1280,Bellevue University
1281,Bellin College
1282,Bellin College of Nursing
1283,Bellin Health School of Radiologic Technology
1284,Bellin Hospital School of Radiologic Technology
1285,Bellingham Beauty School
1286,Bellingham Technical College
