,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
255,Baldwin Beauty School-North Austin,Austin,78757-7068,,,416131.0,416131.0,38799.0,,767019.0,1145325.0,144.0,0.0,9.0,15.0,26.0,91.0,0.0,3.0,0.0,,,,,
256,SECURITY ACADEMY OF TEXAS,NEDERLAND,77627,,,,,,,,,,,,,,,,,,,,,,
257,NEUHAUS EDUCATION CENTER,BELLAIRE,77401,,,,,,,,,,,,,,,,,,,,,,
258,LOWER RIO GRANDE VALLEY DEV COUNCIL POLICE ACADEMY,HARLINGEN,78550,,,,,,,,,,,,,,,,,,,,,,
259,ENVIRONMENTAL TRAINING AND CERTIFICATION,HOUSTON,77054-2681,,,,,,,,,,,,,,,,,,,,,,
260,South Texas College,McAllen,78502-970,,,14481210.0,13955574.0,-5628845.0,999995.0,55325713.0,73193072.0,10369.0,5.0,59.0,10.0,9849.0,439.0,,0.0,7.0,27.0,551.0,549.0,966.0,8455903.0
261,Texas State Technical College-Marshall,Marshall,75671,,,,,,,,,489.0,1.0,0.0,154.0,12.0,321.0,,0.0,1.0,,,,,
262,Southern Careers Institute-South Texas,Pharr,78577,,,1557546.0,1557546.0,188113.0,,1600046.0,2934725.0,298.0,0.0,0.0,0.0,291.0,5.0,,0.0,0.0,,,,,
263,Southern Careers Institute Inc-South Texas,Pharr,78577,,,1183322.0,1183322.0,0.0,,1851221.0,3036922.0,236.0,0.0,3.0,9.0,201.0,23.0,,0.0,0.0,,,,,
264,Southern Careers Institute-Pharr,Pharr,78577,,,4831761.0,4831761.0,3211145.0,,4831761.0,4831761.0,154.0,0.0,0.0,4.0,143.0,3.0,4.0,0.0,0.0,,,,,
265,Southern Careers Institute Inc-Corpus Christi,Corpus Christi,78414,,,1902658.0,1902658.0,707818.0,,1970426.0,3114091.0,233.0,0.0,4.0,11.0,182.0,36.0,,0.0,0.0,,,,,
266,Southern Careers Institute-Corpus Christi,Corpus Christi,78414,,,4202373.0,4202373.0,2906124.0,,4202373.0,4202373.0,158.0,0.0,2.0,22.0,104.0,25.0,5.0,0.0,0.0,,,,,
267,Sanford-Brown Institute-Dallas,Dallas,75247-610,,,2667147.0,2667147.0,2007413.0,,2681348.0,2681348.0,243.0,0.0,3.0,70.0,24.0,141.0,,5.0,0.0,,,,,
268,Sanford-Brown College-Dallas,Dallas,75247-6103,,,14218479.0,14218479.0,9328739.0,,14595198.0,14565851.0,1262.0,7.0,35.0,455.0,300.0,286.0,13.0,166.0,0.0,14.0,36.0,69.0,92.0,462972.0
269,Sanford-Brown College-Houston,Houston,77042,,,17588259.0,17587715.0,9971060.0,,17619457.0,17531745.0,1809.0,9.0,77.0,702.0,674.0,249.0,8.0,90.0,0.0,8.0,50.0,64.0,86.0,879275.0
