i_id,city,state,zip
10090,Brooklyn Heights,NY,11201-9902
10091,Camarillo,CA,93012-2598
10092,Queens,NY,11439
10093,Nashua,NH,3060
10094,Canton,NY,13617
10095,Saint Louis,MO,63110
10096,Pomona,CA,91767
10097,Saint Mary's City,MD,20686-3001
10098,Baltimore,MD,21210-199
10099,San Antonio,TX,78228-8572
10100,Northfield,MN,55057-109
10101,Flushing,NY,11354
10102,Saint Petersburg,FL,33708-3116
10103,Ogden,UT,84405
10104,Lake Charles,LA,70605
10105,Irvine,CA,92612
10106,Sand Springs,OK,74063-075
10107,Stanford,CA,94305
10108,Albemarle,NC,28001
10109,Clifton,NJ,07011-2248
10110,New York,NY,10011-7307
10111,Norristown,PA,19403-2422
10112,Syosset,NY,11791-5311
10113,Nacogdoches,TX,75961-464
10114,Tyler,TX,75702-821
10115,Longview,TX,75601-683
10116,Stratford,NJ,8084
10117,Bensenville,IL,60106
10118,Bensenville,IL,60106
10119,Hickory Hills,IL,60457
10120,North Canton,OH,44720
10121,Canton,OH,44720
10122,Berkeley,CA,94709
10123,Jersey City,NJ,7306
10124,Oklahoma City,OK,73108
10125,Duncanville,TX,75116
10126,Jackson,MS,39211
10127,Waukegan,IL,60085-5129
10128,Wausau,WI,54403
10129,Bradenton,FL,34207
10130,Sedalia,MO,65301-219
10132,New Paltz,NY,12561-2443
10133,Toledo,OH,43614
10134,Brecksville,OH,44141
10135,Livonia,MI,48150
10136,Maumee,OH,43537-4007
10137,Strongsville,OH,44136
10138,Allen Park,MI,48101
10139,Allen Park,MI,48101
10141,Fairfield,NJ,07004-3490
10142,Fairfield,NJ,07004-349
10143,Jacksonville,FL,32207-281
10144,Jacksonville,FL,32207
10145,Nacogdoches,TX,75962
10146,Columbia,MO,65215
10147,Stephenville,TX,76401
10148,Craftsbury Common,VT,05827-007
10149,DeLand,FL,32723
10150,Painted Post,NY,14870-951
10151,Boise,ID,83709-6733
10152,Logan,UT,84321
10153,Saint Louis,MO,63103
10154,Hoboken,NJ,07030-599
10155,Logan,UT,84321
10156,Orem,UT,84058
10157,Logan,UT,84321
10158,Murray,UT,84123-5671
10159,Stevenson,MD,21153-0641
10160,Sioux Falls,SD,57104
10161,Tuscaloosa,AL,35403
10162,Stillwater,OK,74075
10165,Hamden,CT,6514
10166,Hamden,CT,6514
10167,Box Elder,MT,59521
10168,Easton,MA,02357-611
