"player_id","pick","year","t_name","c_name","state"
163,63,2016,"Georgia Institute of Technology","ACC","GA"
1203,63,2020,"Mississippi State University","SEC","MS"
422,63,2017,"Temple University","AAC","PA"
943,63,2019,"University of Virginia","ACC","VA"
943,63,2019,"University of Virginia","ACC","VA"
943,63,2019,"University of Virginia","ACC","VA"
943,63,2019,"University of Virginia","ACC","VA"
943,63,2019,"University of Virginia","ACC","VA"
165,64,2016,"Middle Tennessee State University","C-USA","TN"
682,64,2018,"Ohio State University","Big Ten","OH"
1204,64,2020,"Southern Illinois University Carbondale","MVFC","IL"
944,64,2019,"University of Mississippi","SEC","MS"
946,65,2019,"Boston College","ACC","MA"
684,65,2018,"North Carolina A & T State University","Big South Conference","NC"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
166,65,2016,"Pennsylvania State University","Big Ten","PA"
425,65,2017,"University of North Carolina at Charlotte","C-USA","NC"
1206,65,2020,"University of Wyoming","MW","WY"
426,66,2017,"University of Colorado Boulder","PAC-12","CO"
685,66,2018,"University of Georgia","SEC","GA"
1207,66,2020,"University of Memphis","AAC","TN"
167,66,2016,"University of South Carolina","SEC","SC"
947,66,2019,"University of Toledo","MAC","OH"
948,67,2019,"Baylor University","Big 12","TX"
686,67,2018,"University of Miami","ACC","FL"
168,67,2016,"University of Nebraska - Lincoln","Big Ten","MA"
168,67,2016,"University of Nebraska - Lincoln","Big Ten","MA"
168,67,2016,"University of Nebraska - Lincoln","Big Ten","MA"
